Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cuda
obses on reset: 2 x (4,) float32
iter    200 |loss   0.01 |n_ep    16 |ep_len   21.6 |ep_rew  21.59 |raw_ep_rew  21.59 |env_step    400 |time 00:00 rem 00:33
iter    400 |loss   0.03 |n_ep    33 |ep_len   21.6 |ep_rew  21.57 |raw_ep_rew  21.57 |env_step    800 |time 00:01 rem 00:47
iter    600 |loss   0.01 |n_ep    47 |ep_len   25.8 |ep_rew  25.80 |raw_ep_rew  25.80 |env_step   1200 |time 00:03 rem 00:50
iter    800 |loss   0.02 |n_ep    66 |ep_len   22.1 |ep_rew  22.06 |raw_ep_rew  22.06 |env_step   1600 |time 00:04 rem 00:51
iter   1000 |loss   0.03 |n_ep    88 |ep_len   17.0 |ep_rew  17.01 |raw_ep_rew  17.01 |env_step   2000 |time 00:05 rem 00:51
iter   1200 |loss   0.02 |n_ep   109 |ep_len   19.9 |ep_rew  19.91 |raw_ep_rew  19.91 |env_step   2400 |time 00:07 rem 00:51
iter   1400 |loss   0.02 |n_ep   126 |ep_len   22.0 |ep_rew  21.97 |raw_ep_rew  21.97 |env_step   2800 |time 00:08 rem 00:50
iter   1600 |loss   0.01 |n_ep   146 |ep_len   21.9 |ep_rew  21.93 |raw_ep_rew  21.93 |env_step   3200 |time 00:09 rem 00:50
iter   1800 |loss   0.02 |n_ep   168 |ep_len   17.0 |ep_rew  16.98 |raw_ep_rew  16.98 |env_step   3600 |time 00:10 rem 00:49
iter   2000 |loss   0.01 |n_ep   185 |ep_len   24.6 |ep_rew  24.59 |raw_ep_rew  24.59 |env_step   4000 |time 00:12 rem 00:48
iter   2200 |loss   0.06 |n_ep   202 |ep_len   21.0 |ep_rew  21.05 |raw_ep_rew  21.05 |env_step   4400 |time 00:13 rem 00:47
iter   2400 |loss   0.01 |n_ep   215 |ep_len   27.3 |ep_rew  27.29 |raw_ep_rew  27.29 |env_step   4800 |time 00:14 rem 00:46
iter   2600 |loss   0.00 |n_ep   225 |ep_len   35.8 |ep_rew  35.84 |raw_ep_rew  35.84 |env_step   5200 |time 00:15 rem 00:45
iter   2800 |loss   0.01 |n_ep   235 |ep_len   33.6 |ep_rew  33.55 |raw_ep_rew  33.55 |env_step   5600 |time 00:17 rem 00:44
iter   3000 |loss   0.02 |n_ep   247 |ep_len   32.9 |ep_rew  32.94 |raw_ep_rew  32.94 |env_step   6000 |time 00:18 rem 00:43
iter   3200 |loss   0.09 |n_ep   255 |ep_len   39.5 |ep_rew  39.48 |raw_ep_rew  39.48 |env_step   6400 |time 00:20 rem 00:42
