Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_pen/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    28 |ep_len   31.3 |ep_rew  -0.22 |raw_ep_rew   1.76 |env_step   1000 |time 00:04 rem 281:49
iter   1000 |loss   0.00 |n_ep    62 |ep_len   31.0 |ep_rew  -0.22 |raw_ep_rew   1.35 |env_step   2000 |time 00:08 rem 283:33
iter   1500 |loss   0.00 |n_ep    97 |ep_len   31.2 |ep_rew  -0.14 |raw_ep_rew   1.12 |env_step   3000 |time 00:12 rem 286:19
iter   2000 |loss   0.00 |n_ep   128 |ep_len   35.0 |ep_rew  -0.09 |raw_ep_rew   1.23 |env_step   4000 |time 00:17 rem 286:17
iter   2500 |loss   0.00 |n_ep   158 |ep_len   32.9 |ep_rew  -0.14 |raw_ep_rew   1.13 |env_step   5000 |time 00:21 rem 286:15
iter   3000 |loss   0.00 |n_ep   193 |ep_len   33.7 |ep_rew  -0.16 |raw_ep_rew   0.83 |env_step   6000 |time 00:25 rem 285:24
iter   3500 |loss   0.00 |n_ep   222 |ep_len   27.9 |ep_rew  -0.26 |raw_ep_rew   1.11 |env_step   7000 |time 00:30 rem 285:22
iter   4000 |loss   0.00 |n_ep   250 |ep_len   35.5 |ep_rew  -0.11 |raw_ep_rew   1.24 |env_step   8000 |time 00:34 rem 285:10
iter   4500 |loss   0.00 |n_ep   280 |ep_len   35.9 |ep_rew  -0.05 |raw_ep_rew   1.18 |env_step   9000 |time 00:38 rem 285:12
iter   5000 |loss   0.00 |n_ep   316 |ep_len   32.4 |ep_rew  -0.12 |raw_ep_rew   0.99 |env_step  10000 |time 00:43 rem 286:03
iter   5500 |loss   0.00 |n_ep   348 |ep_len   32.6 |ep_rew  -0.19 |raw_ep_rew   0.89 |env_step  11000 |time 00:47 rem 290:06
iter   6000 |loss   0.00 |n_ep   378 |ep_len   34.1 |ep_rew  -0.10 |raw_ep_rew   1.04 |env_step  12000 |time 00:53 rem 294:26
iter   6500 |loss   0.00 |n_ep   417 |ep_len   24.0 |ep_rew  -0.37 |raw_ep_rew   0.66 |env_step  13000 |time 00:58 rem 297:48
iter   7000 |loss   0.00 |n_ep   444 |ep_len   35.9 |ep_rew  -0.05 |raw_ep_rew   1.08 |env_step  14000 |time 01:03 rem 300:29
iter   7500 |loss   0.00 |n_ep   472 |ep_len   34.3 |ep_rew  -0.06 |raw_ep_rew   1.40 |env_step  15000 |time 01:08 rem 302:40
iter   8000 |loss   0.01 |n_ep   509 |ep_len   28.7 |ep_rew  -0.25 |raw_ep_rew   0.94 |env_step  16000 |time 01:13 rem 305:21
iter   8500 |loss   0.00 |n_ep   531 |ep_len   42.1 |ep_rew   0.02 |raw_ep_rew   1.37 |env_step  17000 |time 01:18 rem 306:49
iter   9000 |loss   0.02 |n_ep   561 |ep_len   35.7 |ep_rew  -0.06 |raw_ep_rew   1.31 |env_step  18000 |time 01:23 rem 308:34
iter   9500 |loss   0.01 |n_ep   593 |ep_len   27.5 |ep_rew  -0.33 |raw_ep_rew   1.37 |env_step  19000 |time 01:28 rem 309:49
